Título,Ano,Nota IMDb,Link,Gêneros,Sinopse,Elenco Principal
Homem-Aranha: No Aranhaverso,2018,8.4,https://www.imdb.com/pt/title/tt4633694/?ref_=chttp_i_63,N/A,O adolescente Miles Morales se torna o Homem-Aranha de seu universo e deve se juntar a cinco indivíduos com poderes de aranha de outras dimensões para impedir uma ameaça para todas as realidades.,"Shameik Moore, Jake Johnson, Hailee Steinfeld"
Testemunha de Acusação,1957,8.4,https://www.imdb.com/pt/title/tt0051201/?ref_=chttp_i_64,N/A,Um veterano advogado britânico deve defender seu cliente em um julgamento de assassinato que tem surpresa após surpresa.,"Tyrone Power, Marlene Dietrich, Charles Laughton"
Glória Feita de Sangue,1957,8.4,https://www.imdb.com/pt/title/tt0050825/?ref_=chttp_i_65,N/A,"Depois de se recusar a atacar uma posição inimiga, um general acusa os soldados da covardia e seu comandante deve defendê-los.","Kirk Douglas, Ralph Meeker, Adolphe Menjou"
O Iluminado,1980,8.4,https://www.imdb.com/pt/title/tt0081505/?ref_=chttp_i_66,N/A,"Uma família se dirige a um hotel isolado para o inverno, onde uma presença sinistra influencia a violência do pai, enquanto seu filho psíquico vê presságios horríveis do passado e do futuro.","Jack Nicholson, Shelley Duvall, Danny Lloyd"
O Grande Ditador,1940,8.4,https://www.imdb.com/pt/title/tt0032553/?ref_=chttp_i_67,N/A,O ditador Adenoid Hynkel tenta expandir seu império enquanto um pobre barbeiro judeu tenta evitar a perseguição por seu regime.,"Charles Chaplin, Paulette Goddard, Jack Oakie"
Bastardos Inglórios,2009,8.4,https://www.imdb.com/pt/title/tt0361748/?ref_=chttp_i_68,N/A,"Na França ocupada pelos nazistas durante a Segunda Guerra Mundial, um plano para assassinar líderes nazistas por parte de um grupo de soldados judeus dos EUA coincide com os planos de vingança da dona de uma sala de cinema.","Brad Pitt, Diane Kruger, Eli Roth"
Repetente,2023,8.7,https://www.imdb.com/pt/title/tt23849204/?ref_=chttp_i_69,N/A,A história da vida real do oficial do IPS Manoj Kumar Sharma e do oficial do IRS Shraddha Joshi.,"Vikrant Massey, Medha Shankr, Anant Joshi"
Aliens: O Resgate,1986,8.4,https://www.imdb.com/pt/title/tt0090605/?ref_=chttp_i_70,N/A,Ellen Ripley é salvada depois de estar dormida por 57 anos. A luna que o Nostromo visitou foi colonizada mas o contado se perdeu.,"Sigourney Weaver, Michael Biehn, Carrie Henn"
Batman: O Cavaleiro das Trevas Ressurge,2012,8.4,https://www.imdb.com/pt/title/tt1345836/?ref_=chttp_i_71,N/A,"Passaram-se oito anos desde a morte de Harvey Dent e o Batman, ao assumir a culpa pela morte do promotor, desapareceu. Agora, ele terá de lidar com a chegada da Mulher Gato e de Bane em Gotham City.","Christian Bale, Tom Hardy, Anne Hathaway"
Viva: A Vida é uma Festa,2017,8.4,https://www.imdb.com/pt/title/tt2380307/?ref_=chttp_i_72,N/A,"O aspirante a músico Miguel, confrontado com a proibição ancestral da música pela sua família, entra na Terra dos Mortos para encontrar o seu tataravô, um cantor lendário.","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt"
Amadeus,1984,8.4,https://www.imdb.com/pt/title/tt0086879/?ref_=chttp_i_73,N/A,"A vida, sucessos e tribulações de Wolfgang Amadeus Mozart de acordo com Antonio Salieri, um compositor que era contemporâneo, que sempre teve ciúmes dele e que alegou tê-lo matado.","F. Murray Abraham, Tom Hulce, Elizabeth Berridge"
Vingadores: Ultimato,2019,8.4,https://www.imdb.com/pt/title/tt4154796/?ref_=chttp_i_74,N/A,"Após os eventos devastadores de Vingadores: Guerra Infinita, o universo está em ruínas. E com a ajuda de aliados, os Vingadores se reúnem para desfazer as ações de Thanos e restaurar a ordem.","Robert Downey Jr., Chris Evans, Mark Ruffalo"
Toy Story,1995,8.3,https://www.imdb.com/pt/title/tt0114709/?ref_=chttp_i_75,N/A,"Um boneco cowboy fica ciumento quando um novo boneco astronauta se torna o brinquedo principal no quarto de um menino. Quando as circunstâncias os separam de seu dono, os dois precisam esquecer suas diferenças para voltar para ele.","Tom Hanks, Tim Allen, Don Rickles"
Gênio Indomável,1997,8.3,https://www.imdb.com/pt/title/tt0119217/?ref_=chttp_i_76,N/A,"Will Hunting, um zelador de uma universidade, tem habilidades para a matemática, mas precisa da ajuda de um psicólogo para encontrar seu propósito.","Robin Williams, Matt Damon, Ben Affleck"
Céu e Inferno,1963,8.4,https://www.imdb.com/pt/title/tt0057565/?ref_=chttp_i_77,N/A,Um executivo de uma empresa de calçados torna-se vítima de extorsão quando o filho de seu motorista é sequestrado e retido para resgate.,"Toshirô Mifune, Yutaka Sada, Tatsuya Nakadai"
Dr. Fantástico,1964,8.3,https://www.imdb.com/pt/title/tt0057012/?ref_=chttp_i_78,N/A,Um general alienado provoca um potencial holocausto nuclear que uma sala de guerra cheia de políticos e generais tenta freneticamente parar.,"Peter Sellers, George C. Scott, Sterling Hayden"
Oldboy,2003,8.3,https://www.imdb.com/pt/title/tt0364569/?ref_=chttp_i_79,N/A,"Depois de ter sido raptado e preso por quinze anos, Oh Dae-Su é libertado, e descobre que tem 5 dias para encontrar seu sequestrador.","Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong"
O Barco: Inferno no Mar,1981,8.4,https://www.imdb.com/pt/title/tt0082096/?ref_=chttp_i_80,N/A,"O mundo claustrofóbico de um submarino da Segunda Guerra Mundial, cheio de tédio, sujeira e terror.","Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann"
Coração Valente,1995,8.3,https://www.imdb.com/pt/title/tt0112573/?ref_=chttp_i_81,N/A,"Quando sua noiva en segredo é assassinada, William Wallace comença uma revolta contra o rey Eduardo I da Inglaterra.","Mel Gibson, Sophie Marceau, Patrick McGoohan"
Your Name,2016,8.4,https://www.imdb.com/pt/title/tt5311514/?ref_=chttp_i_82,N/A,"Dois estranhos estão ligados de uma maneira bizarra, mais quando uma conexão é formada, a distância será a única coisa que os manterá separados?","Ryûnosuke Kamiki, Mone Kamishiraishi, Ryo Narita"
Princesa Mononoke,1997,8.3,https://www.imdb.com/pt/title/tt0119698/?ref_=chttp_i_83,N/A,Um príncipe sofre com uma maldição mortal e parte em busca da cura. Ele acaba indo parar no meio da batalha entre uma cidade mineradora e os animais da floresta.,"Yôji Matsuda, Yuriko Ishida, Yûko Tanaka"
Beleza Americana,1999,8.3,https://www.imdb.com/pt/title/tt0169547/?ref_=chttp_i_84,N/A,Um pai sexualmente frustrado tem uma crise existencial depois de conhecer a melhor amiga da sua filha.,"Kevin Spacey, Annette Bening, Thora Birch"
3 Idiotas,2009,8.4,https://www.imdb.com/pt/title/tt1187043/?ref_=chttp_i_85,N/A,"Dois amigos procuram seu companheiro perdido. Eles se lembram de seus dias de faculdade e como seu amigo os inspirou a pensar de maneira diferente, mesmo quando o resto do mundo os chamava idiotas.","Aamir Khan, Madhavan, Mona Singh"
Coringa,2019,8.3,https://www.imdb.com/pt/title/tt7286456/?ref_=chttp_i_86,N/A,Um comediante falido enlouquece e se torna um assassino psicopata.,"Joaquin Phoenix, Robert De Niro, Zazie Beetz"
Cafarnaum,2018,8.4,https://www.imdb.com/pt/title/tt8267604/?ref_=chttp_i_87,N/A,"Ao cumprir uma sentença de cinco anos por um crime violento, uma criança de 12 anos processou seus pais por negligência.","Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole"
Era uma Vez na América,1984,8.3,https://www.imdb.com/pt/title/tt0087843/?ref_=chttp_i_88,N/A,"Dois amigos leais crescem juntos cometendo pequenos crimes nas ruas do Lower East Side, em Manhattan, mas essa parceria com o tempo se desfaz em morte e mistério.","Robert De Niro, James Woods, Elizabeth McGovern"
Cantando na Chuva,1952,8.3,https://www.imdb.com/pt/title/tt0045152/?ref_=chttp_i_89,N/A,Uma produtora de cinema mudo e seu elenco enfrentam uma transição difícil para o cinema falado.,"Gene Kelly, Donald O'Connor, Debbie Reynolds"
Vá e Veja,1985,8.3,https://www.imdb.com/pt/title/tt0091251/?ref_=chttp_i_90,N/A,"Depois de encontrar uma arma, um jovem se une as forças da resistença russa contra os alemães na segunda guerra mundial.","Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius"
Réquiem para um Sonho,2000,8.3,https://www.imdb.com/pt/title/tt0180093/?ref_=chttp_i_91,N/A,As utopias causadas pelo uso de drogas em quatro pessoas de Coney Island se rompem quando seus vícios as dominam.,"Ellen Burstyn, Jared Leto, Jennifer Connelly"
Star Wars: Episódio VI - O Retorno de Jedi,1983,8.3,https://www.imdb.com/pt/title/tt0086190/?ref_=chttp_i_92,N/A,"Depois de resgatar Han Solo de Jabba, o Hutt, a Aliança Rebelde tenta destruir a segunda Estrela da Morte, enquanto Luke luta para ajudar Darth Vader a voltar do lado negro.","Mark Hamill, Harrison Ford, Carrie Fisher"
Toy Story 3,2010,8.3,https://www.imdb.com/pt/title/tt0435761/?ref_=chttp_i_93,N/A,"Os brinquedos são dados por erro a uma creche, Woody junto com os outros brinquedos tentaram voltar a casa do Andy.","Tom Hanks, Tim Allen, Joan Cusack"
A Caça,2012,8.3,https://www.imdb.com/pt/title/tt2106476/?ref_=chttp_i_94,N/A,"Um professor vive uma vida solitária enquanto luta pela custódia de seu filho. Sua vida melhora lentamente quando ele encontra o amor e recebe boas notícias de seu filho, mas sua sorte está prestes a mudar por uma pequena mentira inocente.","Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp"
